,long_name,short_name,short_loc,league,
 Zimbabwe, Zimbabwe, Zimbabwe,,,International
Chirag United,Chirag United,Chirag United,,,Indian
 Churchill Brothers, Churchill Brothers, Churchill Brothers,,,Indian
 Dempo, Dempo, Dempo,,,Indian
 East Bengal Club, East Bengal Club, East Bengal Club,,,Indian
 JSW Bangalore, JSW Bangalore, JSW Bangalore,,,Indian
 Mohammedan Sporting Club, Mohammedan Sporting Club,,,,Indian
 Mohun Bagan, Mohun Bagan, Mohun Bagan,,,Indian
 Mumbai FC, Mumbai FC, Mumbai FC,,,Indian
 Mumbai Tigers FC, Mumbai Tigers FC, Mumbai Tigers FC,,,Indian
 Pailan Arrows FC, Pailan Arrows FC, Pailan Arrows FC,,,Indian
 Prayag United FC, Prayag United FC, Prayag United FC,,,Indian
 Pune FC, Pune FC, Pune FC,,,Indian
 Rangdajied United FC, Rangdajied United FC,,,,Indian
 Salgaocar FC, Salgaocar FC, Salgaocar FC,,,Indian
 Shillong Lajong FC, Shillong Lajong FC, Shillong Lajong FC,,,Indian
 Sporting Clube de Goa, Sporting Clube de Goa,,,,Indian
ADO Den Haag,ADO Den Haag,ADO Den Haag,,,EREDIVISIE
 AZ Alkmaar, AZ Alkmaar, AZ Alkmaar,AZ,,EREDIVISIE
 Ajax, Ajax, Ajax,,,EREDIVISIE
 Groningen, Groningen, Groningen,,,EREDIVISIE
 Twente, Twente, Twente,,,EREDIVISIE
 Utrecht, Utrecht, Utrecht,,,EREDIVISIE
 Feyenoord, Feyenoord, Feyenoord,,,EREDIVISIE
 Go Ahead Eagles, Go Ahead Eagles, Go Ahead Eagles,,,EREDIVISIE
 Heracles Almelo, Heracles Almelo, Heracles Almelo,,,EREDIVISIE
 NAC Breda, NAC Breda, NAC Breda,NAC,,EREDIVISIE
 NEC Nijmegen, NEC Nijmegen, NEC Nijmegen,NEC,,EREDIVISIE
 PSV Eindhoven, PSV Eindhoven, PSV Eindhoven,PSV,,EREDIVISIE
 RKC Waalwijk, RKC Waalwijk, RKC Waalwijk,,,EREDIVISIE
 Roda JC, Roda JC, Roda JC,,,EREDIVISIE
 Cambuur, Cambuur, Cambuur,,,EREDIVISIE
 Heerenveen, Heerenveen, Heerenveen,,,EREDIVISIE
